Year,State,NominalGSDP
1994,West Bengal,62032.00
1995,West Bengal,73865.00
1996,West Bengal,82075.00
1997,West Bengal,97966.00
1998,West Bengal,115516.00
1999,West Bengal,135376.00
2000,West Bengal,143725.00
2001,West Bengal,157144.00
2002,West Bengal,168000.00
2003,West Bengal,189259.00
2004,West Bengal,208656.00
2005,West Bengal,230245.00
2006,West Bengal,261682.00
2007,West Bengal,299483.00
2008,West Bengal,341942.00
2009,West Bengal,398880.00
2010,West Bengal,460959.00
2011,West Bengal,528316.00
2012,West Bengal,603311.00
2013,West Bengal,706561.00
2014,West Bengal,800868.00
1993,Puducherry,981.00
1994,Puducherry,1127.00
1995,Puducherry,1320.00
1996,Puducherry,1907.00
1997,Puducherry,2625.00
1998,Puducherry,2982.00
1999,Puducherry,3235.00
2000,Puducherry,3864.00
2001,Puducherry,4259.00
2002,Puducherry,4931.00
2003,Puducherry,5438.00
2004,Puducherry,5754.00
2005,Puducherry,7977.00
2006,Puducherry,8335.00
2007,Puducherry,9251.00
2008,Puducherry,10050.00
2009,Puducherry,12304.00
2010,Puducherry,13092.00
2011,Puducherry,16818.01
2012,Puducherry,18875.45
2013,Puducherry,21870.12
2014,Puducherry,24088.57
